Distance Between Stations (km),Weather Conditions,Time of Day,Train Type,Historical Delay (min),Route Congestion,
260,Clear,Night,Local,0,Medium,
135,Rainy,Morning,Express,208,High,
75,Foggy,Afternoon,Superfast,225,Low,
225,Clear,Evening,Local,2,Medium,
170,Rainy,Night,Express,209,High,
65,Foggy,Morning,Superfast,226,Low,
240,Clear,Afternoon,Local,1,Medium,
40,Clear,Morning,Local,10,Medium,
65,Rainy,Afternoon,Express,20,High,
50,Foggy,Evening,Superfast,30,Low,
75,Clear,Night,Local,15,Medium,
55,Rainy,Morning,Express,25,High,
80,Foggy,Afternoon,Superfast,35,Low,
60,Clear,Evening,Local,5,Medium,
85,Rainy,Night,Express,45,High,
65,Foggy,Morning,Superfast,55,Low,
90,Clear,Afternoon,Local,20,Medium,
70,Rainy,Evening,Express,30,High,
95,Foggy,Night,Superfast,40,Low,
75,Clear,Morning,Local,10,Medium,
100,Rainy,Afternoon,Express,50,High,
80,Foggy,Evening,Superfast,60,Low,
105,Clear,Night,Local,25,Medium,
85,Rainy,Morning,Express,35,High,
110,Foggy,Afternoon,Superfast,45,Low,
90,Clear,Evening,Local,15,Medium,
115,Rainy,Night,Express,55,High,
95,Foggy,Morning,Superfast,65,Low,
120,Clear,Afternoon,Local,30,Medium,
100,Rainy,Evening,Express,40,High,
125,Foggy,Night,Superfast,50,Low,
105,Clear,Morning,Local,5,Medium,
130,Rainy,Afternoon,Express,45,High,
110,Foggy,Evening,Superfast,55,Low,
135,Clear,Night,Local,20,Medium,
115,Rainy,Morning,Express,50,High,
140,Foggy,Afternoon,Superfast,60,Low,
120,Clear,Evening,Local,25,Medium,
145,Rainy,Night,Express,35,High,
125,Foggy,Morning,Superfast,45,Low,
150,Clear,Afternoon,Local,10,Medium,
130,Rainy,Evening,Express,55,High,
155,Foggy,Night,Superfast,65,Low,
135,Clear,Morning,Local,30,Medium,
160,Rainy,Afternoon,Express,40,High,
140,Foggy,Evening,Superfast,50,Low,
165,Clear,Night,Local,15,Medium,
145,Rainy,Morning,Express,55,High,
170,Foggy,Afternoon,Superfast,65,Low,
150,Clear,Evening,Local,20,Medium,
175,Rainy,Night,Express,35,High,
155,Foggy,Morning,Superfast,45,Low,
180,Clear,Afternoon,Local,5,Medium,
160,Rainy,Evening,Express,50,High,
185,Foggy,Night,Superfast,60,Low,
165,Clear,Morning,Local,25,Medium,
190,Rainy,Afternoon,Express,40,High,
170,Foggy,Evening,Superfast,50,Low,
195,Clear,Night,Local,30,Medium,
175,Rainy,Morning,Express,5,High,
200,Foggy,Afternoon,Superfast,45,Low,
180,Clear,Evening,Local,15,Medium,
205,Rainy,Night,Express,55,High,
185,Foggy,Morning,Superfast,65,Low,
210,Clear,Afternoon,Local,30,Medium,
190,Rainy,Evening,Express,40,High,
215,Foggy,Night,Superfast,50,Low,
195,Clear,Morning,Local,20,Medium,
220,Rainy,Afternoon,Express,55,High,
200,Foggy,Evening,Superfast,65,Low,
225,Clear,Night,Local,25,Medium,
205,Rainy,Morning,Express,35,High,
230,Foggy,Afternoon,Superfast,45,Low,
210,Clear,Evening,Local,10,Medium,
235,Rainy,Night,Express,50,High,
215,Foggy,Morning,Superfast,60,Low,
240,Clear,Afternoon,Local,30,Medium,
220,Rainy,Evening,Express,40,High,
245,Foggy,Night,Superfast,50,Low,
225,Clear,Morning,Local,15,Medium,
250,Rainy,Afternoon,Express,55,High,
230,Foggy,Evening,Superfast,65,Low,
255,Clear,Night,Local,20,Medium,
235,Rainy,Morning,Express,35,High,
260,Foggy,Afternoon,Superfast,45,Low,
240,Clear,Evening,Local,5,Medium,
265,Rainy,Night,Express,50,High,
245,Foggy,Morning,Superfast,60,Low,
270,Clear,Afternoon,Local,30,Medium,
250,Rainy,Evening,Express,40,High,
275,Foggy,Night,Superfast,55,Low,
255,Clear,Morning,Local,10,Medium,
280,Rainy,Afternoon,Express,45,High,
260,Foggy,Evening,Superfast,50,Low,
285,Clear,Night,Local,20,Medium,
265,Rainy,Morning,Express,35,High,
290,Foggy,Afternoon,Superfast,40,Low,
270,Clear,Evening,Local,15,Medium,
295,Rainy,Night,Express,50,High,
275,Foggy,Morning,Superfast,55,Low,
300,Clear,Afternoon,Local,25,Medium,
280,Rainy,Evening,Express,40,High,
305,Foggy,Night,Superfast,45,Low,
285,Clear,Morning,Local,5,Medium,
310,Rainy,Afternoon,Express,60,High,
290,Foggy,Evening,Superfast,65,Low,
315,Clear,Night,Local,30,Medium,
295,Rainy,Morning,Express,35,High,
320,Foggy,Afternoon,Superfast,40,Low,
300,Clear,Evening,Local,10,Medium,
325,Rainy,Night,Express,45,High,
305,Foggy,Morning,Superfast,50,Low,
330,Clear,Afternoon,Local,15,Medium,
310,Rainy,Evening,Express,55,High,
335,Foggy,Night,Superfast,60,Low,
315,Clear,Morning,Local,20,Medium,
340,Rainy,Afternoon,Express,35,High,
320,Foggy,Evening,Superfast,40,Low,
345,Clear,Night,Local,5,Medium,
40,Clear,Morning,Local,10,Medium,
65,Rainy,Afternoon,Express,20,High,
50,Foggy,Evening,Superfast,30,Low,
75,Clear,Night,Local,15,Medium,
55,Rainy,Morning,Express,25,High,
80,Foggy,Afternoon,Superfast,35,Low,
60,Clear,Evening,Local,5,Medium,
85,Rainy,Night,Express,45,High,
65,Foggy,Morning,Superfast,55,Low,
90,Clear,Afternoon,Local,20,Medium,
70,Rainy,Evening,Express,30,High,
95,Foggy,Night,Superfast,40,Low,
75,Clear,Morning,Local,10,Medium,
100,Rainy,Afternoon,Express,50,High,
80,Foggy,Evening,Superfast,60,Low,
105,Clear,Night,Local,25,Medium,
85,Rainy,Morning,Express,35,High,
110,Foggy,Afternoon,Superfast,45,Low,
90,Clear,Evening,Local,15,Medium,
115,Rainy,Night,Express,55,High,
95,Foggy,Morning,Superfast,65,Low,
120,Clear,Afternoon,Local,30,Medium,
100,Rainy,Evening,Express,40,High,
125,Foggy,Night,Superfast,50,Low,
105,Clear,Morning,Local,5,Medium,
130,Rainy,Afternoon,Express,45,High,
110,Foggy,Evening,Superfast,55,Low,
135,Clear,Night,Local,20,Medium,
115,Rainy,Morning,Express,50,High,
140,Foggy,Afternoon,Superfast,60,Low,
120,Clear,Evening,Local,25,Medium,
145,Rainy,Night,Express,35,High,
125,Foggy,Morning,Superfast,45,Low,
150,Clear,Afternoon,Local,10,Medium,
130,Rainy,Evening,Express,55,High,
155,Foggy,Night,Superfast,65,Low,
135,Clear,Morning,Local,30,Medium,
160,Rainy,Afternoon,Express,40,High,
140,Foggy,Evening,Superfast,50,Low,
165,Clear,Night,Local,15,Medium,
145,Rainy,Morning,Express,55,High,
170,Foggy,Afternoon,Superfast,65,Low,
150,Clear,Evening,Local,20,Medium,
175,Rainy,Night,Express,35,High,
155,Foggy,Morning,Superfast,45,Low,
180,Clear,Afternoon,Local,5,Medium,
160,Rainy,Evening,Express,50,High,
185,Foggy,Night,Superfast,60,Low,
165,Clear,Morning,Local,25,Medium,
190,Rainy,Afternoon,Express,40,High,
170,Foggy,Evening,Superfast,50,Low,
195,Clear,Night,Local,30,Medium,
175,Rainy,Morning,Express,5,High,
200,Foggy,Afternoon,Superfast,45,Low,
180,Clear,Evening,Local,15,Medium,
205,Rainy,Night,Express,55,High,
185,Foggy,Morning,Superfast,65,Low,
210,Clear,Afternoon,Local,30,Medium,
190,Rainy,Evening,Express,40,High,
215,Foggy,Night,Superfast,50,Low,
195,Clear,Morning,Local,20,Medium,
220,Rainy,Afternoon,Express,55,High,
200,Foggy,Evening,Superfast,65,Low,
225,Clear,Night,Local,25,Medium,
205,Rainy,Morning,Express,35,High,
230,Foggy,Afternoon,Superfast,45,Low,
210,Clear,Evening,Local,10,Medium,
235,Rainy,Night,Express,50,High,
215,Foggy,Morning,Superfast,60,Low,
240,Clear,Afternoon,Local,30,Medium,
220,Rainy,Evening,Express,40,High,
245,Foggy,Night,Superfast,50,Low,
225,Clear,Morning,Local,15,Medium,
250,Rainy,Afternoon,Express,55,High,
230,Foggy,Evening,Superfast,65,Low,
255,Clear,Night,Local,20,Medium,
235,Rainy,Morning,Express,35,High,
260,Foggy,Afternoon,Superfast,45,Low,
240,Clear,Evening,Local,5,Medium,
265,Rainy,Night,Express,50,High,
245,Foggy,Morning,Superfast,60,Low,
270,Clear,Afternoon,Local,30,Medium,
250,Rainy,Evening,Express,40,High,
275,Foggy,Night,Superfast,55,Low,
255,Clear,Morning,Local,10,Medium,
280,Rainy,Afternoon,Express,45,High,
260,Foggy,Evening,Superfast,50,Low,
285,Clear,Night,Local,20,Medium,
265,Rainy,Morning,Express,35,High,
290,Foggy,Afternoon,Superfast,40,Low,
270,Clear,Evening,Local,15,Medium,
295,Rainy,Night,Express,50,High,
275,Foggy,Morning,Superfast,55,Low,
300,Clear,Afternoon,Local,25,Medium,
280,Rainy,Evening,Express,40,High,
305,Foggy,Night,Superfast,45,Low,
285,Clear,Morning,Local,5,Medium,
310,Rainy,Afternoon,Express,60,High,
290,Foggy,Evening,Superfast,65,Low,
315,Clear,Night,Local,30,Medium,
295,Rainy,Morning,Express,35,High,
320,Foggy,Afternoon,Superfast,40,Low,
300,Clear,Evening,Local,10,Medium,
325,Rainy,Night,Express,45,High,
305,Foggy,Morning,Superfast,50,Low,
330,Clear,Afternoon,Local,15,Medium,
310,Rainy,Evening,Express,55,High,
335,Foggy,Night,Superfast,60,Low,
315,Clear,Morning,Local,20,Medium,
340,Rainy,Afternoon,Express,35,High,
320,Foggy,Evening,Superfast,40,Low,
345,Clear,Night,Local,5,Medium,
325,Rainy,Morning,Express,50,High,
350,Foggy,Afternoon,Superfast,55,Low,
330,Clear,Evening,Local,25,Medium,
355,Rainy,Night,Express,30,High,
335,Foggy,Morning,Superfast,35,Low,
360,Clear,Afternoon,Local,40,Medium,
340,Rainy,Evening,Express,45,High,
365,Foggy,Night,Superfast,50,Low,
345,Clear,Morning,Local,55,Medium,
370,Rainy,Afternoon,Express,60,High,
350,Foggy,Evening,Superfast,65,Low,
375,Clear,Night,Local,70,Medium,
355,Rainy,Morning,Express,75,High,
380,Foggy,Afternoon,Superfast,80,Low,
360,Clear,Evening,Local,85,Medium,
385,Rainy,Night,Express,90,High,
365,Foggy,Morning,Superfast,95,Low,
390,Clear,Afternoon,Local,100,Medium,
370,Rainy,Evening,Express,105,High,
395,Foggy,Night,Superfast,110,Low,
375,Clear,Morning,Local,115,Medium,
400,Rainy,Afternoon,Express,120,High,
380,Foggy,Evening,Superfast,125,Low,
405,Clear,Night,Local,130,Medium,
385,Rainy,Morning,Express,135,High,
410,Foggy,Afternoon,Superfast,140,Low,
390,Clear,Evening,Local,145,Medium,
415,Rainy,Night,Express,150,High,
395,Foggy,Morning,Superfast,155,Low,
420,Clear,Afternoon,Local,160,Medium,
400,Rainy,Evening,Express,165,High,
425,Foggy,Night,Superfast,170,Low,
405,Clear,Morning,Local,175,Medium,
430,Rainy,Afternoon,Express,180,High,
410,Foggy,Evening,Superfast,185,Low,
435,Clear,Night,Local,190,Medium,
415,Rainy,Morning,Express,195,High,
440,Foggy,Afternoon,Superfast,200,Low,
420,Clear,Evening,Local,205,Medium,
445,Rainy,Night,Express,210,High,
425,Foggy,Morning,Superfast,215,Low,
450,Clear,Afternoon,Local,220,Medium,
430,Rainy,Evening,Express,225,High,
455,Foggy,Night,Superfast,230,Low,
435,Clear,Morning,Local,235,Medium,
460,Rainy,Afternoon,Express,240,High,
440,Foggy,Evening,Superfast,245,Low,
465,Clear,Night,Local,250,Medium,
445,Rainy,Morning,Express,255,High,
470,Foggy,Afternoon,Superfast,260,Low,
450,Clear,Evening,Local,265,Medium,
475,Rainy,Night,Express,270,High,
455,Foggy,Morning,Superfast,275,Low,
480,Clear,Afternoon,Local,280,Medium,
460,Rainy,Evening,Express,285,High,
485,Foggy,Night,Superfast,290,Low,
465,Clear,Morning,Local,295,Medium,
490,Rainy,Afternoon,Express,300,High,
470,Foggy,Evening,Superfast,305,Low,
495,Clear,Night,Local,310,Medium,
475,Rainy,Morning,Express,315,High,
500,Foggy,Afternoon,Superfast,320,Low,
480,Clear,Evening,Local,325,Medium,
505,Rainy,Night,Express,330,High,
485,Foggy,Morning,Superfast,335,Low,
510,Clear,Afternoon,Local,340,Medium,
490,Rainy,Evening,Express,345,High,
515,Foggy,Night,Superfast,350,Low,
495,Clear,Morning,Local,355,Medium,
520,Rainy,Afternoon,Express,360,High,
500,Foggy,Evening,Superfast,365,Low,
525,Clear,Night,Local,370,Medium,
505,Rainy,Morning,Express,375,High,
530,Foggy,Afternoon,Superfast,380,Low,
510,Clear,Evening,Local,385,Medium,
535,Rainy,Night,Express,390,High,
515,Foggy,Morning,Superfast,395,Low,
540,Clear,Afternoon,Local,400,Medium,
520,Rainy,Evening,Express,405,High,
545,Foggy,Night,Superfast,410,Low,
525,Clear,Morning,Local,415,Medium,
550,Rainy,Afternoon,Express,420,High,
530,Foggy,Evening,Superfast,425,Low,
555,Clear,Night,Local,430,Medium,
535,Rainy,Morning,Express,435,High,
560,Foggy,Afternoon,Superfast,440,Low,
540,Clear,Evening,Local,445,Medium,
565,Rainy,Night,Express,450,High,
545,Foggy,Morning,Superfast,455,Low,
570,Clear,Afternoon,Local,460,Medium,
550,Rainy,Evening,Express,465,High,
575,Foggy,Night,Superfast,470,Low,
555,Clear,Morning,Local,475,Medium,
580,Rainy,Afternoon,Express,480,High,
560,Foggy,Evening,Superfast,485,Low,
585,Clear,Night,Local,490,Medium,
565,Rainy,Morning,Express,495,High,
590,Foggy,Afternoon,Superfast,500,Low,
570,Clear,Evening,Local,505,Medium,
595,Rainy,Night,Express,510,High,
575,Foggy,Morning,Superfast,515,Low,
600,Clear,Afternoon,Local,520,Medium,
580,Rainy,Evening,Express,525,High,
605,Foggy,Night,Superfast,530,Low,
585,Clear,Morning,Local,535,Medium,
610,Rainy,Afternoon,Express,540,High,
590,Foggy,Evening,Superfast,545,Low,
615,Clear,Night,Local,550,Medium,
595,Rainy,Morning,Express,555,High,
620,Foggy,Afternoon,Superfast,560,Low,
600,Clear,Evening,Local,565,Medium,
625,Rainy,Night,Express,570,High,
605,Foggy,Morning,Superfast,575,Low,
630,Clear,Afternoon,Local,580,Medium,
610,Rainy,Evening,Express,585,High,
635,Foggy,Night,Superfast,590,Low,
615,Clear,Morning,Local,595,Medium,
640,Rainy,Afternoon,Express,600,High,
620,Foggy,Evening,Superfast,605,Low,
645,Clear,Night,Local,610,Medium,
625,Rainy,Morning,Express,615,High,
650,Foggy,Afternoon,Superfast,620,Low,
630,Clear,Evening,Local,625,Medium,
655,Rainy,Night,Express,630,High,
635,Foggy,Morning,Superfast,635,Low,
660,Clear,Afternoon,Local,640,Medium,
640,Rainy,Evening,Express,645,High,
665,Foggy,Night,Superfast,650,Low,
645,Clear,Morning,Local,655,Medium,
670,Rainy,Afternoon,Express,660,High,
650,Foggy,Evening,Superfast,665,Low,
675,Clear,Night,Local,670,Medium,
655,Rainy,Morning,Express,675,High,
680,Foggy,Afternoon,Superfast,680,Low,
660,Clear,Evening,Local,685,Medium,
685,Rainy,Night,Express,690,High,
665,Foggy,Morning,Superfast,695,Low,
690,Clear,Afternoon,Local,700,Medium,
670,Rainy,Evening,Express,705,High,
695,Foggy,Night,Superfast,710,Low,
675,Clear,Morning,Local,715,Medium,
700,Rainy,Afternoon,Express,720,High,
680,Foggy,Evening,Superfast,725,Low,
705,Clear,Night,Local,730,Medium,
685,Rainy,Morning,Express,735,High,
710,Foggy,Afternoon,Superfast,740,Low,
690,Clear,Evening,Local,745,Medium,
715,Rainy,Night,Express,750,High,
695,Foggy,Morning,Superfast,755,Low,
720,Clear,Afternoon,Local,760,Medium,
700,Rainy,Evening,Express,765,High,
725,Foggy,Night,Superfast,770,Low,
705,Clear,Morning,Local,775,Medium,
730,Rainy,Afternoon,Express,780,High,
710,Foggy,Evening,Superfast,785,Low,
735,Clear,Night,Local,790,Medium,
715,Rainy,Morning,Express,795,High,
740,Foggy,Afternoon,Superfast,800,Low,
720,Clear,Evening,Local,805,Medium,
745,Rainy,Night,Express,810,High,
725,Foggy,Morning,Superfast,815,Low,
750,Clear,Afternoon,Local,820,Medium,
730,Rainy,Evening,Express,825,High,
755,Foggy,Night,Superfast,830,Low,
735,Clear,Morning,Local,835,Medium,
760,Rainy,Afternoon,Express,840,High,
740,Foggy,Evening,Superfast,845,Low,
765,Clear,Night,Local,850,Medium,
745,Rainy,Morning,Express,855,High,
770,Foggy,Afternoon,Superfast,860,Low,
750,Clear,Evening,Local,865,Medium,
775,Rainy,Night,Express,870,High,
755,Foggy,Morning,Superfast,875,Low,
780,Clear,Afternoon,Local,880,Medium,
760,Rainy,Evening,Express,885,High,
785,Foggy,Night,Superfast,890,Low,
765,Clear,Morning,Local,895,Medium,
790,Rainy,Afternoon,Express,900,High,
770,Foggy,Evening,Superfast,905,Low,
795,Clear,Night,Local,910,Medium,
775,Rainy,Morning,Express,915,High,
800,Foggy,Afternoon,Superfast,920,Low,
780,Clear,Evening,Local,925,Medium,
805,Rainy,Night,Express,930,High,
785,Foggy,Morning,Superfast,935,Low,
810,Clear,Afternoon,Local,940,Medium,
790,Rainy,Evening,Express,945,High,
815,Foggy,Night,Superfast,950,Low,
795,Clear,Morning,Local,955,Medium,
820,Rainy,Afternoon,Express,960,High,
800,Foggy,Evening,Superfast,965,Low,
825,Clear,Night,Local,970,Medium,
805,Rainy,Morning,Express,975,High,
830,Foggy,Afternoon,Superfast,980,Low,
810,Clear,Evening,Local,985,Medium,
835,Rainy,Night,Express,990,High,
815,Foggy,Morning,Superfast,995,Low,
840,Clear,Afternoon,Local,1000,Medium,
820,Rainy,Evening,Express,1005,High,
845,Foggy,Night,Superfast,1010,Low,
825,Clear,Morning,Local,1015,Medium,
850,Rainy,Afternoon,Express,1020,High,
830,Foggy,Evening,Superfast,1025,Low,
855,Clear,Night,Local,1030,Medium,
835,Rainy,Morning,Express,1035,High,
860,Foggy,Afternoon,Superfast,1040,Low,
840,Clear,Evening,Local,1045,Medium,
865,Rainy,Night,Express,1050,High,
845,Foggy,Morning,Superfast,1055,Low,
870,Clear,Afternoon,Local,1060,Medium,
850,Rainy,Evening,Express,1065,High,
875,Foggy,Night,Superfast,1070,Low,
855,Clear,Morning,Local,1075,Medium,
880,Rainy,Afternoon,Express,1080,High,
860,Foggy,Evening,Superfast,1085,Low,
885,Clear,Night,Local,1090,Medium,
865,Rainy,Morning,Express,1095,High,
890,Foggy,Afternoon,Superfast,1100,Low,
870,Clear,Evening,Local,1105,Medium,
895,Rainy,Night,Express,1110,High,
875,Foggy,Morning,Superfast,1115,Low,
900,Clear,Afternoon,Local,1120,Medium,
880,Rainy,Evening,Express,1125,High,
905,Foggy,Night,Superfast,1130,Low,
885,Clear,Morning,Local,1135,Medium,
910,Rainy,Afternoon,Express,1140,High,
890,Foggy,Evening,Superfast,1145,Low,
915,Clear,Night,Local,1150,Medium,
895,Rainy,Morning,Express,1155,High,
920,Foggy,Afternoon,Superfast,1160,Low,
900,Clear,Evening,Local,1165,Medium,
925,Rainy,Night,Express,1170,High,
905,Foggy,Morning,Superfast,1175,Low,
930,Clear,Afternoon,Local,1180,Medium,
910,Rainy,Evening,Express,1185,High,
935,Foggy,Night,Superfast,1190,Low,
915,Clear,Morning,Local,1195,Medium,
940,Rainy,Afternoon,Express,1200,High,
920,Foggy,Evening,Superfast,1205,Low,
945,Clear,Night,Local,1210,Medium,
925,Rainy,Morning,Express,1215,High,
950,Foggy,Afternoon,Superfast,1220,Low,
930,Clear,Evening,Local,1225,Medium,
955,Rainy,Night,Express,1230,High,
100,Clear,Morning,Express,5,Low,
150,Rainy,Afternoon,Superfast,10,Medium,
200,Foggy,Evening,Local,15,High,
50,Clear,Night,Express,2,Low,
75,Rainy,Morning,Superfast,8,Medium,
125,Foggy,Afternoon,Local,20,High,
90,Clear,Evening,Express,0,Low,
60,Rainy,Night,Superfast,12,Medium,
110,Clear,Morning,Local,3,High,
95,Foggy,Afternoon,Express,25,Low,
130,Clear,Evening,Superfast,5,Medium,
85,Rainy,Night,Local,7,High,
160,Clear,Morning,Express,0,Low,
70,Rainy,Afternoon,Superfast,30,Medium,
45,Foggy,Evening,Local,22,High,
180,Clear,Night,Express,4,Low,
55,Rainy,Morning,Superfast,11,Medium,
105,Foggy,Afternoon,Local,16,High,
120,Clear,Evening,Express,1,Low,
80,Rainy,Night,Superfast,9,Medium,
140,Clear,Morning,Local,3,Low,
65,Rainy,Afternoon,Express,14,High,
175,Foggy,Evening,Superfast,18,Medium,
30,Clear,Night,Local,1,Low,
115,Rainy,Morning,Express,9,High,
100,Foggy,Afternoon,Superfast,20,Medium,
190,Clear,Evening,Local,2,Low,
145,Rainy,Night,Express,12,High,
50,Foggy,Morning,Superfast,17,Medium,
135,Clear,Afternoon,Local,4,Low,
105,Rainy,Evening,Express,11,High,
75,Foggy,Night,Superfast,22,Medium,
155,Clear,Morning,Local,0,Low,
40,Rainy,Afternoon,Express,19,High,
170,Foggy,Evening,Superfast,15,Medium,
25,Clear,Night,Local,2,Low,
130,Rainy,Morning,Express,13,High,
160,Foggy,Afternoon,Superfast,21,Medium,
35,Clear,Evening,Local,3,Low,
180,Rainy,Night,Express,16,High,
55,Foggy,Morning,Superfast,23,Medium,
95,Clear,Afternoon,Local,1,Low,
85,Rainy,Evening,Express,10,High,
45,Foggy,Night,Superfast,24,Medium,
165,Clear,Morning,Local,5,Low,
70,Rainy,Afternoon,Express,18,High,
110,Foggy,Evening,Superfast,14,Medium,
90,Clear,Night,Local,0,Low,
60,Rainy,Morning,Express,7,High,
200,Foggy,Afternoon,Superfast,25,Medium,
190,Clear,Morning,Local,0,Medium,
80,Rainy,Afternoon,Express,15,High,
150,Foggy,Evening,Superfast,20,Low,
210,Clear,Night,Local,5,Medium,
120,Rainy,Morning,Express,10,High,
60,Foggy,Afternoon,Superfast,25,Low,
170,Clear,Evening,Local,3,Medium,
100,Rainy,Night,Express,8,High,
140,Foggy,Morning,Superfast,12,Low,
190,Clear,Afternoon,Local,2,Medium,
110,Rainy,Evening,Express,14,High,
70,Foggy,Night,Superfast,18,Low,
180,Clear,Morning,Local,1,Medium,
90,Rainy,Afternoon,Express,16,High,
130,Foggy,Evening,Superfast,11,Low,
200,Clear,Night,Local,0,Medium,
105,Rainy,Morning,Express,9,High,
75,Foggy,Afternoon,Superfast,17,Low,
165,Clear,Evening,Local,4,Medium,
85,Rainy,Night,Express,13,High,
155,Foggy,Morning,Superfast,6,Low,
215,Clear,Afternoon,Local,0,Medium,
125,Rainy,Evening,Express,7,High,
65,Foggy,Night,Superfast,19,Low,
175,Clear,Morning,Local,1,Medium,
95,Rainy,Afternoon,Express,18,High,
145,Foggy,Evening,Superfast,10,Low,
205,Clear,Night,Local,2,Medium,
115,Rainy,Morning,Express,15,High,
55,Foggy,Afternoon,Superfast,21,Low,
220,Clear,Morning,Local,2,Medium,
130,Rainy,Afternoon,Express,19,High,
60,Foggy,Evening,Superfast,22,Low,
185,Clear,Night,Local,1,Medium,
95,Rainy,Morning,Express,20,High,
150,Foggy,Afternoon,Superfast,23,Low,
215,Clear,Evening,Local,0,Medium,
105,Rainy,Night,Express,21,High,
75,Foggy,Morning,Superfast,24,Low,
195,Clear,Afternoon,Local,3,Medium,
115,Rainy,Evening,Express,18,High,
165,Foggy,Night,Superfast,25,Low,
225,Clear,Morning,Local,2,Medium,
135,Rainy,Afternoon,Express,17,High,
80,Foggy,Evening,Superfast,26,Low,
200,Clear,Night,Local,1,Medium,
120,Rainy,Morning,Express,16,High,
70,Foggy,Afternoon,Superfast,27,Low,
210,Clear,Evening,Local,0,Medium,
100,Rainy,Night,Express,15,High,
160,Foggy,Morning,Superfast,22,Low,
230,Clear,Afternoon,Local,2,Medium,
140,Rainy,Evening,Express,14,High,
85,Foggy,Night,Superfast,23,Low,
205,Clear,Morning,Local,1,Medium,
125,Rainy,Afternoon,Express,13,High,
175,Foggy,Evening,Superfast,24,Low,
220,Clear,Night,Local,0,Medium,
110,Rainy,Morning,Express,12,High,
65,Foggy,Afternoon,Superfast,26,Low,
180,Clear,Morning,Local,1,Medium,
140,Rainy,Afternoon,Express,17,High,
90,Foggy,Evening,Superfast,28,Low,
210,Clear,Night,Local,0,Medium,
150,Rainy,Morning,Express,16,High,
100,Foggy,Afternoon,Superfast,25,Low,
230,Clear,Evening,Local,2,Medium,
120,Rainy,Night,Express,15,High,
60,Foggy,Morning,Superfast,29,Low,
190,Clear,Afternoon,Local,1,Medium,
130,Rainy,Evening,Express,18,High,
70,Foggy,Night,Superfast,26,Low,
220,Clear,Morning,Local,0,Medium,
160,Rainy,Afternoon,Express,14,High,
80,Foggy,Evening,Superfast,27,Low,
200,Clear,Night,Local,2,Medium,
110,Rainy,Morning,Express,13,High,
50,Foggy,Afternoon,Superfast,30,Low,
240,Clear,Evening,Local,1,Medium,
170,Rainy,Night,Express,12,High,
85,Foggy,Morning,Superfast,28,Low,
215,Clear,Afternoon,Local,0,Medium,
145,Rainy,Evening,Express,11,High,
95,Foggy,Night,Superfast,29,Low,
235,Clear,Morning,Local,2,Medium,
175,Rainy,Afternoon,Express,10,High,
55,Foggy,Evening,Superfast,27,Low,
225,Clear,Night,Local,1,Medium,
135,Rainy,Morning,Express,9,High,
75,Foggy,Afternoon,Superfast,26,Low,
205,Clear,Evening,Local,0,Medium,
125,Rainy,Night,Express,8,High,
65,Foggy,Morning,Superfast,25,Low,
195,Clear,Afternoon,Local,1,Medium,
155,Rainy,Evening,Express,7,High,
45,Foggy,Night,Superfast,30,Low,
245,Clear,Morning,Local,0,Medium,
165,Rainy,Afternoon,Express,6,High,
105,Foggy,Evening,Superfast,24,Low,
215,Clear,Night,Local,2,Medium,
190,Clear,Night,Local,2,Medium,
145,Rainy,Morning,Express,11,High,
170,Foggy,Afternoon,Superfast,25,Low,
235,Clear,Evening,Local,3,Medium,
145,Rainy,Night,Express,10,High,
90,Foggy,Morning,Superfast,28,Low,
215,Clear,Afternoon,Local,1,Medium,
130,Rainy,Evening,Express,9,High,
180,Foggy,Night,Superfast,24,Low,
240,Clear,Morning,Local,2,Medium,
150,Rainy,Afternoon,Express,8,High,
100,Foggy,Evening,Superfast,27,Low,
225,Clear,Night,Local,1,Medium,
140,Rainy,Morning,Express,7,High,
95,Foggy,Afternoon,Superfast,26,Low,
205,Clear,Evening,Local,0,Medium,
120,Rainy,Night,Express,6,High,
170,Foggy,Morning,Superfast,29,Low,
245,Clear,Afternoon,Local,3,Medium,
155,Rainy,Evening,Express,5,High,
80,Foggy,Night,Superfast,28,Low,
220,Clear,Morning,Local,0,Medium,
125,Rainy,Afternoon,Express,4,High,
185,Foggy,Evening,Superfast,30,Low,
250,Clear,Night,Local,2,Medium,
160,Rainy,Morning,Express,3,High,
110,Foggy,Afternoon,Superfast,27,Low,
230,Clear,Evening,Local,1,Medium,
135,Rainy,Night,Express,2,High,
195,Foggy,Morning,Superfast,26,Low,
210,Clear,Afternoon,Local,2,Medium,
115,Rainy,Evening,Express,3,High,
175,Foggy,Night,Superfast,28,Low,
255,Clear,Morning,Local,1,Medium,
165,Rainy,Afternoon,Express,4,High,
120,Foggy,Evening,Superfast,29,Low,
225,Clear,Night,Local,0,Medium,
130,Rainy,Morning,Express,5,High,
180,Foggy,Afternoon,Superfast,30,Low,
265,Clear,Evening,Local,2,Medium,
175,Rainy,Night,Express,6,High,
125,Foggy,Morning,Superfast,31,Low,
235,Clear,Afternoon,Local,1,Medium,
140,Rainy,Evening,Express,7,High,
190,Foggy,Night,Superfast,32,Low,
270,Clear,Morning,Local,2,Medium,
185,Rainy,Afternoon,Express,8,High,
135,Foggy,Evening,Superfast,33,Low,
245,Clear,Night,Local,1,Medium,
150,Rainy,Morning,Express,9,High,
